website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,condition,current_use,square_footage,floor,elevator,buildable,construction_year,amenities,amount_amenities,image_link
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1297032/,"US$ 1,400/Mes",79454.34,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,1/2 Ba�o-Agua Potable-Ascensor-Cisterna-Cuarto de Servicio-Lobby,6,https://img.supercasas.com/AdsPhotos/800x600/0/8978441.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-bella-vista-norte/1288795/,"US$ 1,100/Mes",62428.41,Bella Vista Norte,1.0,1.5,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,N/D,Residencial,0,0,1,No,N/D,Cisterna-Gimnasio-Piscina-Planta El�ctrica-Pozo-Terraza,6,https://img.supercasas.com/AdsPhotos/800x600/0/8891460.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1298592/,"US$ 1,200/Mes",68103.72,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,2,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Jacuzzi-Planta El�ctrica-Pozo-Seguridad 24 Horas-Walk In Closet,9,https://img.supercasas.com/AdsPhotos/800x600/0/8994830.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-paseo-del-parque/1299589/,"RD$ 25,000/Mes",25000,Paseo del Parque,3.0,2.0,"Paseo del Parque, Santo Domingo Norte, Santo Domingo",Santo Domingo Norte,Santo Domingo,Segundo Uso,Residencial,0,5,0,S�,N/D,Agua Potable-Balc�n-Cisterna-Cuarto de Servicio-Gazebo,5,https://img.supercasas.com/AdsPhotos/800x600/0/9005316.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1301918/,"US$ 1,200/Mes",68103.72,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,61,0,1,No,N/D,Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,5,https://img.supercasas.com/AdsPhotos/800x600/0/9028829.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-julia/1286847/,"US$ 1,100/Mes",62428.41,La Julia,1.0,1.0,"La Julia, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,60,2,1,No,N/D,Ascensor-Lobby-Piscina-Terraza,4,https://img.supercasas.com/AdsPhotos/800x600/0/8973776.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296017/,"US$ 1,600/Mes",90804.96,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,90,0,2,No,N/D,Ascensor-Balc�n-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas,7,https://img.supercasas.com/AdsPhotos/800x600/0/8973929.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1293046/,"US$ 1,100/Mes",62428.41,Naco,1.0,1.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,82,9,2,No,N/D,Area de Juegos Infantiles-Ascensor-Lobby-Planta El�ctrica-Seguridad 24 Horas,5,https://img.supercasas.com/AdsPhotos/800x600/0/8936962.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-piantini/1291147/,"US$ 2,500/Mes",141882.75,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,145,0,1,No,N/D,Ascensor-Gimnasio-Jacuzzi-Lobby,4,https://img.supercasas.com/AdsPhotos/800x600/0/8915819.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1304479/,"US$ 1,300/Mes",73779.03,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Mixto,70,11,0,No,N/D,Balc�n-Gimnasio-Piscina-Terraza,4,https://img.supercasas.com/AdsPhotos/800x600/0/9056630.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1291499/,"US$ 1,250/Mes",70941.375,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,74,6,1,No,N/D,Ascensor-Gimnasio-Lobby,3,https://img.supercasas.com/AdsPhotos/800x600/0/8998350.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1301722/,"US$ 1,400/Mes",79454.34,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,76,0,1,No,N/D,Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,8,https://img.supercasas.com/AdsPhotos/800x600/0/9026968.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296453/,"US$ 1,400/Mes",79454.34,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,70,0,2,No,N/D,Ascensor-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,7,https://img.supercasas.com/AdsPhotos/800x600/0/8972325.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1300157/,"US$ 1,350/Mes",76616.685,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,71,6,2,No,2022,Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza-Walk In Closet,10,https://img.supercasas.com/AdsPhotos/800x600/0/9011464.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1304233/,"US$ 1,200/Mes",68103.72,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,50,3,1,No,N/D,Aire Acondicionado-Ascensor-Balc�n-Gimnasio-Jacuzzi-Piscina-Terraza,7,https://img.supercasas.com/AdsPhotos/800x600/0/9054040.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1275260/,"US$ 1,200/Mes",68103.72,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,7,1,No,N/D,Ascensor-Balc�n-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas,6,https://img.supercasas.com/AdsPhotos/800x600/0/8747166.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1292375/,"US$ 1,200/Mes",68103.72,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,N/D,Residencial,68,3,1,No,N/D,1/2 Ba�o-Area de Juegos Infantiles-Ascensor-Cisterna-Gimnasio-Lobby-Planta El�ctrica,7,https://img.supercasas.com/AdsPhotos/800x600/0/8929269.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1279067/,"US$ 1,100/Mes",62428.41,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,1/2 Ba�o-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gimnasio-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,11,https://img.supercasas.com/AdsPhotos/800x600/0/8787584.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-costa-azul/1303199/,"US$ 1,100/Mes",62428.41,Costa Azul,2.0,2.0,"Costa Azul, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,Ascensor-Balc�n-Lobby-Planta El�ctrica,4,https://img.supercasas.com/AdsPhotos/800x600/0/9042432.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1298592/,"US$ 1,200/Mes",68103.72,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,2,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Jacuzzi-Planta El�ctrica-Pozo-Seguridad 24 Horas-Walk In Closet,9,https://img.supercasas.com/AdsPhotos/800x600/0/8994828.jpg
supercasas,https://www.supercasas.com/penthouse-alquiler-la-esperilla/1301544/,"US$ 2,200/Mes",124856.82,La Esperilla,2.0,4.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,200,11,0,No,N/D,1/2 Ba�o-Agua Potable-Cisterna-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,7,https://img.supercasas.com/AdsPhotos/800x600/0/9025215.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-santo-domingo-este/1293086/,US$ 50/Mes,2837.655,Santo Domingo Este,1.0,1.0,"Santo Domingo Este, Santo Domingo",Santo Domingo Este,Santo Domingo,Segundo Uso,Residencial,0,3,2,No,N/D,Ascensor-Gimnasio-Lobby-Piscina,4,https://img.supercasas.com/AdsPhotos/800x600/0/8937403.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1290597/,"US$ 2,900/Mes",164583.99,Los Cacicazgos,3.0,3.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,N/D,Residencial,275,3,1,No,N/D,Ascensor-Cisterna-Gimnasio-Lobby,4,https://img.supercasas.com/AdsPhotos/800x600/0/8910204.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1299826/,"US$ 2,500/Mes",141882.75,Evaristo Morales,3.0,3.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,250,3,1,No,N/D,1/2 Ba�o-Agua Potable-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Family Room-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,11,https://img.supercasas.com/AdsPhotos/800x600/0/9007902.jpg
supercasas,"https://www.supercasas.com/penthouse-alquiler-bavaro,-punta-cana/1301483/","US$ 1,400/Mes",79454.34,"B�varo, Punta Cana",2.0,2.5,"B�varo, Punta Cana, La Altagracia",Punta Cana,La Altagracia,Segundo Uso,Residencial,120,3,1,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Gimnasio-Planta El�ctrica-Pozo-Seguridad 24 Horas,12,https://img.supercasas.com/AdsPhotos/800x600/0/9024605.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1282355/,"US$ 2,500/Mes",141882.75,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,145,7,0,No,N/D,1/2 Ba�o-Agua Potable-Ascensor-Control de Acceso-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,9,https://img.supercasas.com/AdsPhotos/800x600/0/8822770.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-costa-azul/1303195/,"US$ 1,100/Mes",62428.41,Costa Azul,2.0,2.0,"Costa Azul, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,Ascensor-Balc�n-Lobby-Planta El�ctrica,4,https://img.supercasas.com/AdsPhotos/800x600/0/9042392.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1301541/,"US$ 1,700/Mes",96480.27,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,83,11,0,No,2022,Agua Potable-Cisterna-Gimnasio-Piscina-Pozo-Seguridad 24 Horas-Terraza,7,https://img.supercasas.com/AdsPhotos/800x600/0/9025204.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-gazcue/1295456/,"US$ 1,700/Mes",96480.27,Gazcue,3.0,3.0,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,177,0,0,No,N/D,Ascensor-Cisterna-Lobby-Planta El�ctrica-Pozo,5,https://img.supercasas.com/AdsPhotos/800x600/0/8961597.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1298627/,US$ 900/Mes,51077.79,Los Cacicazgos,1.0,1.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,60,6,0,No,N/D,Ascensor-Cisterna-Gimnasio-Lobby-Pozo,5,https://img.supercasas.com/AdsPhotos/800x600/0/8995285.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-julieta-morales/1303366/,"US$ 1,100/Mes",62428.41,Julieta Morales,2.0,2.5,"Julieta Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,6,0,No,N/D,1/2 Ba�o-Ascensor-Balc�n-Cuarto de Servicio-Walk In Closet,5,https://img.supercasas.com/AdsPhotos/800x600/0/9044291.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1304029/,"US$ 1,800/Mes",102155.58,Naco,4.0,4.0,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,0,No,N/D,1/2 Ba�o-Ascensor-Cuarto de Servicio-Estar Familiar-Walk In Closet,5,https://img.supercasas.com/AdsPhotos/800x600/0/9051899.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-norte/1303230/,"US$ 1,300/Mes",73779.03,Mirador Norte,3.0,2.5,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,175,3,0,No,N/D,1/2 Ba�o-Ascensor-Balc�n-Cuarto de Servicio-Seguridad 24 Horas,5,https://img.supercasas.com/AdsPhotos/800x600/0/9042799.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-mirador-norte/1298626/,US$ 800/Mes,45402.48,Mirador Norte,1.0,1.5,"Mirador Norte, Santo Domingo Norte, Santo Domingo",Santo Domingo Norte,Santo Domingo,Segundo Uso,Residencial,58,4,0,No,N/D,Ascensor-Cisterna-Lobby-Pozo,4,https://img.supercasas.com/AdsPhotos/800x600/0/8995275.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1294165/,"US$ 2,200/Mes",124856.82,Evaristo Morales,3.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,165,7,2,No,2021,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Jacuzzi-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Walk In Closet,18,https://img.supercasas.com/AdsPhotos/800x600/0/8961015.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-esperilla/1304717/,"US$ 1,200/Mes",68103.72,La Esperilla,3.0,3.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,252,9,2,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Estudio-Family Room-Gazebo-Planta El�ctrica-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,16,https://img.supercasas.com/AdsPhotos/800x600/0/9059211.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-gazcue/1303900/,"US$ 1,500/Mes",85129.65,Gazcue,2.0,2.0,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,0,No,N/D,Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Control de Acceso-Gimnasio-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Walk In Closet,13,https://img.supercasas.com/AdsPhotos/800x600/0/9050339.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-piantini/1299859/,"US$ 1,250/Mes",70941.375,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,137,3,0,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Control de Acceso-Gimnasio-Planta El�ctrica-Pozo-Seguridad 24 Horas,11,https://img.supercasas.com/AdsPhotos/800x600/0/9008160.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-julia/1304712/,"US$ 1,250/Mes",70941.375,La Julia,2.0,2.5,"La Julia, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,135,2,3,No,N/D,1/2 Ba�o-Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Cuarto de Servicio-Family Room-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza,15,https://img.supercasas.com/AdsPhotos/800x600/0/9059166.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1300347/,"US$ 1,150/Mes",65266.065,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,63,13,2,No,N/D,1/2 Ba�o-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza-Walk In Closet,11,https://img.supercasas.com/AdsPhotos/800x600/0/9013427.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1298704/,"US$ 1,400/Mes",79454.34,Los Cacicazgos,1.0,1.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,80,13,1,No,N/D,1/2 Ba�o-Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,12,https://img.supercasas.com/AdsPhotos/800x600/0/8996051.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1298447/,"US$ 3,300/Mes",187285.23,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,155,12,1,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Balc�n-Control de Acceso-Cuarto de Servicio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,12,https://img.supercasas.com/AdsPhotos/800x600/0/8993283.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1300325/,"US$ 1,350/Mes",76616.685,Naco,2.0,2.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,5,1,No,N/D,1/2 Ba�o-Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas,11,https://img.supercasas.com/AdsPhotos/800x600/0/9013177.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1298441/,"US$ 1,700/Mes",96480.27,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,76,10,1,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Gimnasio-Jacuzzi-Lobby-Piscina-Sat�lite-Sauna-Seguridad 24 Horas-Walk In Closet,11,https://img.supercasas.com/AdsPhotos/800x600/0/8993196.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1299727/,US$ 950/Mes,53915.445,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,66,6,1,No,N/D,1/2 Ba�o-Area de Juegos Infantiles-Ascensor-Control de Acceso-Lobby-Picuzzi-Planta El�ctrica-Seguridad 24 Horas,8,https://img.supercasas.com/AdsPhotos/800x600/0/9006868.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1302306/,"US$ 1,350/Mes",76616.685,Evaristo Morales,2.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,150,7,1,No,N/D,1/2 Ba�o-Agua Potable-Area de Juegos Infantiles-Ascensor-Estar Familiar-Gimnasio-Jacuzzi,7,https://img.supercasas.com/AdsPhotos/800x600/0/9032909.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1304116/,"US$ 1,800/Mes",102155.58,Naco,3.0,2.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,2,1,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Balc�n-Cuarto de Servicio-Estar Familiar-Planta El�ctrica-Walk In Closet,8,https://img.supercasas.com/AdsPhotos/800x600/0/9052821.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1297748/,"US$ 1,550/Mes",87967.305,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,70,12,2,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Piscina-Seguridad 24 Horas-Terraza,10,https://img.supercasas.com/AdsPhotos/800x600/0/8986041.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1298448/,"US$ 1,500/Mes",85129.65,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,86,9,6,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza-Walk In Closet,12,https://img.supercasas.com/AdsPhotos/800x600/0/8993284.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-dorado-ll/1304122/,"RD$ 35,000/Mes",35000,Dorado ll,3.0,2.5,"Dorado ll, Santiago, Santiago de los Caballeros ",Santiago,Santiago de los Caballeros ,Nueva,Residencial,132,1,0,No,N/D,1/2 Ba�o-Agua Potable-Area de Juegos Infantiles-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gazebo-Inversor-Patio-Terraza-Walk In Closet,12,https://img.supercasas.com/AdsPhotos/800x600/0/9052901.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1298450/,"US$ 1,400/Mes",79454.34,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,101,7,2,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Terraza-Walk In Closet,11,https://img.supercasas.com/AdsPhotos/800x600/0/8993311.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-esperilla/1298126/,US$ 950/Mes,53915.445,La Esperilla,1.0,1.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,65,0,2,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Balc�n-Gimnasio-Patio-Piscina-Planta El�ctrica-Seguridad 24 Horas,9,https://img.supercasas.com/AdsPhotos/800x600/0/8989859.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-urbanizacion-real/1304320/,"US$ 1,200/Mes",68103.72,Urbanizacion Real,1.0,1.5,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,75,0,4,No,2022,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gazebo-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Sauna-Seguridad 24 Horas-Shutters-Terraza-Vestidores-Walk In Closet,22,https://img.supercasas.com/AdsPhotos/800x600/0/9054902.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1304293/,"US$ 1,700/Mes",96480.27,Naco,3.0,3.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,185,0,2,No,N/D,1/2 Ba�o-Aire Acondicionado-Ascensor-Estar Familiar-Planta El�ctrica-Seguridad 24 Horas,6,https://img.supercasas.com/AdsPhotos/800x600/0/9054680.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-el-vergel/1285816/,US$ 900/Mes,51077.79,El Vergel,1.0,1.5,"El Vergel, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,75,0,3,No,2020,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gazebo-Gimnasio-Jacuzzi-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,20,https://img.supercasas.com/AdsPhotos/800x600/0/8859202.jpg
